sensitivity_family,scenario,detail,inference_role,wave,n_rows,n_stimuli,controls,slope,ci_low_hc3,ci_high_hc3,p_hc3_unadjusted_descriptive
API aggregation,coverage_complete_9_of_9,retain UIDs with 9/9 current judges,descriptive_HC3_only,首轮专家复核,852.0,142,domain+task+dimension,0.1803250248910258,0.0872646770920811,0.27338537268997054,0.000145948299010295
API aggregation,coverage_complete_9_of_9,retain UIDs with 9/9 current judges,descriptive_HC3_only,二次专家复核,180.0,30,domain+task+dimension+selection_role,0.6345162910252145,0.4581775712896454,0.8108550107607835,1.7572957151812294e-12
API aggregation,coverage_at_least_7_of_9,retain UIDs with >=7/9 current judges,descriptive_HC3_only,首轮专家复核,852.0,142,domain+task+dimension,0.1803250248910258,0.0872646770920811,0.27338537268997054,0.000145948299010295
API aggregation,coverage_at_least_7_of_9,retain UIDs with >=7/9 current judges,descriptive_HC3_only,二次专家复核,180.0,30,domain+task+dimension+selection_role,0.6345162910252145,0.4581775712896454,0.8108550107607835,1.7572957151812294e-12
risk direction,risk_both_raw_high_is_risk,both human and API risk left in raw high-is-risk direction,descriptive_HC3_only,首轮专家复核,142.0,142,domain+task,0.23922385805381613,-0.08272434962585573,0.561172065733488,0.1452951401734207
risk direction,risk_both_raw_high_is_risk,both human and API risk left in raw high-is-risk direction,descriptive_HC3_only,二次专家复核,30.0,30,domain+task+selection_role,0.7554476018900865,-0.05782276651970042,1.5687179702998735,0.068665801314003
leave-one-judge-out,exclude::Claude Sonnet 4.6,eight-judge equivalent-stimulus mean,descriptive_HC3_only,首轮专家复核,852.0,142,domain+task+dimension,0.17766131811807362,0.08384567681352463,0.2714769594226226,0.00020592160538561758
leave-one-judge-out,exclude::Claude Sonnet 4.6,eight-judge equivalent-stimulus mean,descriptive_HC3_only,二次专家复核,180.0,30,domain+task+dimension+selection_role,0.6123159786061575,0.4439007289624345,0.7807312282498805,1.0337140166365165e-12
leave-one-judge-out,exclude::DeepSeek-V4 Expert Mode,eight-judge equivalent-stimulus mean,descriptive_HC3_only,首轮专家复核,852.0,142,domain+task+dimension,0.15717025143818503,0.06514856232721294,0.2491919405491571,0.0008152663596786922
leave-one-judge-out,exclude::DeepSeek-V4 Expert Mode,eight-judge equivalent-stimulus mean,descriptive_HC3_only,二次专家复核,180.0,30,domain+task+dimension+selection_role,0.6149667806663677,0.43060333317032773,0.7993302281624076,6.247245754777029e-11
leave-one-judge-out,exclude::Doubao 2.0 Pro,eight-judge equivalent-stimulus mean,descriptive_HC3_only,首轮专家复核,852.0,142,domain+task+dimension,0.17814075053393627,0.0870834711651375,0.26919802990273506,0.0001258744102459432
